Question,Model Answer
Nickelodeon was founded in 1979 by which company?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Nickelodeon was founded in 1979 by which company? [/INST] Answer: ""Cablevision Systems Corporation"""
What is the maximum weight permitted for calves in rodeo calf-roping competition?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What is the maximum weight permitted for calves in rodeo calf-roping competition? [/INST] Answer: Calves in rodeo calf-roping competitions typically weigh between 250 to 450 pounds (113 to 204 kg). Specific weights can vary by event."
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?","[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners? [/INST] Answer: Each gold medal contains 6 grams of pure gold."
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: How many of the four Grand Slam trophies in tennis are gold; how many are silver? [/INST] Answer: In tennis, all four Grand Slam trophies are made of metal, but they do not come in different colors like gold or silver. Instead, they are gilded with gold color. Therefore, there are no Grand Slam trophies that are entirely made of silver."
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: On what vegetable did an ancient Egyptian place his right hand when taking an oath? [/INST] Answer: The ancient Egyptians placed their right hand on a papyrus scepter or a lotus vegetable when taking an oath."
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second? [/INST] China, with approximately 53.4 pounds eaten per person per year, is the country with the second-highest pasta consumption."
Who was the Egyptian president who was assassinated in 1981?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: Who was the Egyptian president who was assassinated in 1981? [/INST] Answer: Anwar Sadat."
What are the two main arms of the River Nile called?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: What are the two main arms of the River Nile called? [/INST] Answer: The two main branches of the River Nile are the Nile River's White Nile and Blue Nile."
On the border of which two countries is Victoria Falls?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: On the border of which two countries is Victoria Falls? [/INST] Answer: Zambia and Zimbabwe."
How much time did Jonah spend in the belly of the whale?,"[INST] <<SYS>>
       Your task is to answer the given question as concisely as possible.The given answer needs to be precise, concise and contain the information that the question is asking for. For example:
        Question: ""What is the capital of Bulgaria?""
        Answer: ""Sophia""
        <</SYS>>

        Question: How much time did Jonah spend in the belly of the whale? [/INST] According to the biblical story, Jonah was inside the whale's belly for three days and nights. (Jonah 1:17)"
