Question,Model Answer
Nickelodeon został założony w 1979 roku przez którą firmę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Nickelodeon został założony w 1979 roku przez którą firmę? [/INST]  Pytanie: Nickelodeon został założony w 1979 roku przez which company?
Odpowiedź: Viacom"
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo? [/INST]  Odpowiedź: 300 pounds"
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl? [/INST]  Each gold medal must contain at least 15 grams of pure gold."
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych? [/INST]  1 is gold and 3 are silver."
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Na jakim warzywie starożytny Egipcjanin składał przysięgę? [/INST]  Onion"
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech? [/INST]  Japan"
Kto był egipskim prezydentem zamordowanym w 1981 roku?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Kto był egipskim prezydentem zamordowanym w 1981 roku? [/INST]   Anwar Sadat"
Jak nazywają się dwie główne odnogi Nilu?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Jak nazywają się dwie główne odnogi Nilu? [/INST]  1. First Nile
2. Second Nile"
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Na granicy których dwóch krajów znajduje się Wodospad Wiktorii? [/INST]  Pytanie: On the border of which two countries is the Victoria Falls located?
Odpowiedź: Zambia and Zimbabwe"
Ile czasu Jonasz spędził w brzuchu wieloryba?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Ile czasu Jonasz spędził w brzuchu wieloryba? [/INST]  3 days"
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę? [/INST]  23 February 1964, the first U.S. television broadcast of a Billy Graham crusade."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?","[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Pytanie: Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida? [/INST]  Pytanie: Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?
Odpowiedź: 10 feet or 3 meters."
