Question,Model Answer
Коя компания основава Никелодеон през 1979 година?,Viacom
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?","Максималното тегло на телетата в родео състезанията по хващане на теле обикновено варира между 150 и 200 килограма. Точната граница може да се различава в зависимост от конкретните правила на организацията или асоциацията, провеждаща събитието."
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?",65% чисто злато.
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?",Четири златни медала.
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?",Лук.
Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място?,Китай
"Кой е бил Египетският президент, убит през 1981 година?",Ануар Садат
Между кои държави се намира водопадът Виктория?,Зимбабве и Замбия.
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?",Три дни и три нощи.
Кои са двете основни ръкави на река Нил?,Белият Нил и Синият Нил.
За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя? ,"Били Греъм гледа телевизия в неделя за първи път през февруари 1964 г., за да наблюдава изстрелването на космическия кораб ""Джемини 3""."
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?",2.9 метра (според Библията)
За каква 'цена' Исав продава първородството си на брат си Яков?,Едно ястие от леща.
На какъв език е написан Новият завет?,Новият завет е написан на гръцки език (коine).
Какво е било световното население по време на Христос?,Около 300 милиона души.
"Кой е авторът на историята, на която е базиран филмът на Алфред Хичкок 'Птиците'?",Дафни дю Морие
С какво се е занимавал Франц Кафprintка през деня?,Франц Кафка е бил писател.
"Колко километра е дълъг каналът, който свързва Тихия и Атлантическия океан?",120 км
Кой художник създава комикса Katzenjammer Kids?,Rudolf Dirks
Какъв е бил физическият недъг на певеца Ал Хиблър?,Ал Хиблър е страдал от церебрална парализа.
Коя супермоделка е била омъжена за Род Стюарт?,Пеги Моран
Фламенко танцьорът Хоакин Кортес нашумява през 1996 г. със своята връзка с кой супермодел?,Наоми Кембъл
Как се казва говорителят на НАТО по време на кризата в Косово през 1999 година?,Javier Solana
"Кой беше противникът на Андре Агаси, когато той спечели първия си титул на Уимбълдън в сингъл?","Отговор: ""Горан Иванишевич"""
"Как загива Джеймс Фикс, човекът, който възхваляваше бягането като здравословно, през 1984 година?",Джеймс Фикс умира от сърдечна недостатъчност по време на маратон в Ню Йорк през 1984 г.
Как се казва първият метеорологичен сателит?,TIROS 1
"Какво е името на първия албум на Елвис Пресли, който не съдържа името на певеца?",Elvis' Golden Records
Кой водеше ранните серии на анимацията 'Пинко Розовата пантера'?,"Ранните серии на ""Пинко Розовата пантера"" бяха водени от актьора Робърт Кълп."
Кой спечели първия изцяло американски финал на Откритото първенство на Франция за почти 40 години през 90-те?,Андре Агаси
"В 'Makin' It',сериал от 80те, кой е героят от типа на Джон Траволта?","В сериала ""Makin' It"" от 80-те години, героят от типа на Джон Траволта се казва Били Рос."
"Героят, играл  Джак Гелър в комедийния сериал 'Приятели', бил женен за коя известна личност?",Мат Лебланк (Джак Гелър) е женен за актрисата Мелани Шоу.
Кой е първият социалистически премиер на Гърция?,Андреас Папандреу
"Кой победи най-доброто време на Карл Луис от 9,86 секунди за 100 метра?","Юсейн Болт с 9,58 секунди през 2009 г."
"Кой e последният французин, спечелил Уимбълдън на сингъл през този век?",Анри Льоконт (2001)
Кой e  най-възрастният шампион на Откритото първенство на САЩ по голф през 20-ти век?,Sam Snead
"Къде се връща изпратен имейл, ако не бъде доставен?",Връща се в подателя.
"Кой e старшият американски дипломат, държан в посолството на САЩ в Техеран?",Марк Стокър
Кои са първите двама мъже шофирали на Луната?,Едуин Олдрин и Нийл Армстронг.
Къде се намира Великия бял път?,Великият бял път се намира в Китай.
В коя болница e откарана принцеса Даяна след катастрофата?,"Болница ""Париж"" (Pitié-Salpêtrière Hospital)"
Кои две близкоизточни страни воюваха от 1980 до 1988 година?,Иран и Ирак
С какво е свързано японското изкуство бонсай?,С миниатюрни дървета в саксии.
Кои две държави имат граница с Лихтенщайн?,Швейцария и Австрия.
Колко често се провеждат президентските избори в САЩ?,На всеки 4 години.
Кои са двете основни политически партии в САЩ?,Демократическа партия и Републиканска партия.
С каква цел Мелвил Дюи разработва своята десетична система през 1876 година?,Мелвил Дюи разработва своята десетична система през 1876 година с цел да създаде универсална система за класификация на книги в библиотеките.
Какви видове елементи се срещат в чисто състояние в природата?,Метали (като злато и платина) и неметали (като сяра и въглерод).
"Коя величина има както посока, така и големина?",Вектор.
Какво се изучава в науката за криогениката?,В науката за криогениката се изучават свойствата на материалите при много ниски температури.
Какъв вид животно е мармозетката,Мармозетката е вид маймуна.
Защо рибите имат хриле?,Рибите имат хриле за дишане под вода. Хрилете им позволяват да извличат кислород от водата.
Макиавели използва името на кое растение като заглавие на една от книгите си?,"""Лъвчето"" (Il Principe)"
Кога човек може да покаже бързо движение на очите (БДО)?,По време на сън или при определени психични състояния.
"Кои две планети отнемат по-малко време от Земята, за да обиколят слънцето?",Меркурий и Венера.
"Какви са имената на двете космически сонди, изстреляни през 1977 г., които изпратиха забележителни снимки на Юпитер, Сатурн, Уран и Нептун?",Voyager 1 и Voyager 2
Каква е определящата характеристика на неутронната звезда?,"Определяща характеристика на неутронната звезда е нейната изключително висока плътност, резултат от гравитационното свиване на ядрото на масивна звезда след експлозия на свръхнова."
Уралските планини образуват естествена граница между кои два континента?,Европа и Азия
Какво според Николай Коперник е било в центъра на нашата вселена и какво е било общото вярване преди това?,"Според Николай Коперник Слънцето е в центъра на Вселената (хелиоцентризъм), докато предишното общо вярване е било, че Земята е в центъра (геоцентризъм)."
Кой певец от групата на Банд Ейд изпълнява началото на песента 'Знаят ли че е Коледа?',Фил Колинс
Кои две числа са използвани от двоичната бройна система?,0 и 1
Джеймс Ърл Рей е виновен за смъррта на кого през 1968 г.?,Джеймс Ърл Рей е виновен за смъртта на Мартин Лутър Кинг младши през 1968 г.
По какъв предизвикателен начин Даниел от Карате Кид улавя муха?,"Даниел използва телекинеза, за да улови мухата с пръстите си без да ги движи."
Коя група изпълнява хитовата песен Счупени Крила от 80-те години,Сигнал
Кои са основните четири кръвни групи?,"A, B, AB, O"
Кои две актриси играят главните роли във филма от 1992 г. - Неомъжена бяла жена?,Мерил Стрийп и Ким Бейсингър.
Кои са актьорите които играят главните роли във филма от 1986 г. Тримата амиго?,"Гари Олдман, Джо Пеши и Анди Гарсия."
Кои три елемента изграждат въглехидратите?,"Въглерод, водород и кислород."
Какъв цвят са вертикалните ивици на италианското знаме?,Вертикални зелени ивици.
Кои са двата традиционни цвята на Уимбълдън?,Зелено и лилаво.
Лицата на кои четирима американски президенти са изваяни на планината Ръшмор?,"Джордж Вашингтон, Томас Джеферсън, Теодор Рузвелт, Ейбрахам Линкълн."
"Кои са единствените четири цвята, които се използват в четирицветния процес на печат, който също е известен като ЦМИК?","Цветовете са циан, магента, жълто и черно (CMYK)."
Кои са първите четири книги на Библията?,"Битие, Изход, Левит, Числа"
Кои четири американски щата започват с английската буква 'I',"Idaho, Illinois, Indiana, Iowa"
Бон Скот беше вокал на коя известна рок група?,AC/DC
"Какви са първите имена на четирите деца, които влизат в Нарния в 'Лъвът, вещицата и гардеробът'?","Питър, Сюзън, Едмънд, Луси"
"'Око за око', 'зъб за зъб'. Според книгата Изход в Библията какво следва?","'Око за око', 'зъб за зъб'. Според книгата Изход в Библията следва възмездие или наказание, което съответства на извършеното престъпление. Това е принципът на справедливостта, известен като lex talionis."
"Какво е името на котката, оцеляла след потъването на 'Бисмарк', 'Косак' и 'Арк Роял' през Втората световна война?",Симба
Какви са сухите съставки на Сухото мартини?,Сухи съставки на сухото мартини: джин и вермут (в малки количества).
"Кой е първият в света самолет с реактивно задвижване, който влиза в търговска експлоатация?",De Havilland Comet
На какво място си снасят яйцата скакалците?,В земята или в растителност.
Географската област Патагония е разположена между кои две южноамерикански държави?,Аржентина и Чили.
Къде в човешкото тяло се намера скафоидната кост?,В китката.
Кой печели златния медал на 100 метра бруст на Олимпиадата през 1980 г. в Москва?,Николай Желязков (България)
Кой печели златния медал в седмобоя на Олимпийските игри през 2000 г.?,Естер Вержес (Унгария)
Назовете всяка година през която Леонардо да Винчи е бил жив,1452-1519
Смърфовете са описани като колко високи?,Смърфовете са описани като около 30 см високи.
Каква температура е еднаква по Целзий и по Фаренхайт?,-40 градуса
Кои са двете основни съставки на соса Холандез?,Яйца и масло.
"На плажа какви цветове са знамената, обозначаващи зона за спасители?",Червен и жълт.
Филмът 'Волният Уили' от 1993 г. се съсредоточава около какъв тип животно?,Делфин.
Кой химичен елемент е най-разпространен в човешкото тяло?,Кислород
Кои два химични елемента могат да бъдат намерени в центъра на Земята?,Желязо и никел.
"През 1967 г. Луис Вашкански става първият човек, получил какво?",Първата трансплантация на сърце в САЩ.
"Какви са размерите на ледената пързалка, по олимпийски стандарти, използвана за фигурно пързаляне и хокей на лед? Дали е 25x50 метра, 27,5x50 метра или 30x60 метра?","Ледената пързалка за фигурно пързаляне и хокей на лед по олимпийски стандарти е с размери 27,5x50 метра."
Назовете двете женски герои в Скуби Ду?,Daphne Blake и Velma Dinkley
Кой отбелязва първия 'златен гол' на Световното първенство през 1998 г.?,Роналдо (Бразилия)
Кой коронясва Наполеон за император?,Папа Пий VII го коронясва за император през 1804 г.
Корабът 'Титаник' имал три котви. Колко е било общото им тегло (в тонове)?,15 тона
"Колко време трае една къса ,'кучешка', вахта обикновено?",Около 10 минути.
Коя е столицата на Швейцария?,Берн
