Question,Answers,Predicted Answers
Nickelodeon was founded in 1979 by which company?,Warner Amex.,"Answer: ""Cablevision Systems Corporation"""
What is the maximum weight permitted for calves in rodeo calf-roping competition?,350 pounds. The minimum is 200 pounds.,Answer: Calves in rodeo calf-roping competitions typically weigh between 250 to 450 pounds (113 to 204 kg). Specific weights can vary by event.
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",At least 6 grams. Silver medals must be at least .925 sterling silver.,Answer: Each gold medal contains 6 grams of pure gold.
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"Only the Wimbledon trophy is gold; the others--for the U.S. Open, the French Open and the Australian Open--are sliver","Answer: In tennis, all four Grand Slam trophies are made of metal, but they do not come in different colors like gold or silver. Instead, they are gilded with gold color. Therefore, there are no Grand Slam trophies that are entirely made of silver."
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,The onion. Its round shape symbolized eternity.,Answer: The ancient Egyptians placed their right hand on a papyrus scepter or a lotus vegetable when taking an oath.
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,"Venezuela, where the annual pasta consumption is 27.9 pounds.","China, with approximately 53.4 pounds eaten per person per year, is the country with the second-highest pasta consumption."
Who was the Egyptian president who was assassinated in 1981?,Sadat.,Answer: Anwar Sadat.
What are the two main arms of the River Nile called?,Blue Nile and White Nile.,Answer: The two main branches of the River Nile are the Nile River's White Nile and Blue Nile.
On the border of which two countries is Victoria Falls?,Zambia and Zimbabwe.,Answer: Zambia and Zimbabwe.
How much time did Jonah spend in the belly of the whale?,Three days and three nights.,"According to the biblical story, Jonah was inside the whale's belly for three days and nights. (Jonah 1:17)"
For what event in February 1964 did evangelist Billy Graham break his strict rule against watching TV on Sunday?,The Beatles' first appearance on The Ed Sullivan Show.,Answer: The assassination of President John F. Kennedy. Billy Graham broke his rule to watch news coverage of the event.
"How tall was Goliath, the Philistine giant slain by David with a stone hurled from a sling?",Six cubits and a span.,"Answer: The height of Goliath is not precisely recorded in the Bible, but various sources suggest it ranges from 6 to 9 feet (1.83 to 2.74 meters)."
"In the Bible, for what 'price' did Esau sell his birthright to his younger twin brother, Jacob?",Pottage of lentils (Genesis 25:29-34).,Answer: Esau sold his birthright to Jacob for a bowl of red lentil soup. (Genesis 25:34)
In what language was the New Testament originally written?,In Greek.,Answer: The New Testament was originally written in Koine Greek.
What was the total population of the world at the time of Christ?,About 200 million.,Answer: The population of the world at the time of Christ is uncertain and estimated to range between 200 million to 300 million people.
Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,"Daphne du Maurier, best known for Rebecca.","Answer: Evelyn Waugh wrote the short story ""The Circular Story"" which inspired Alfred Hitchcock's film ""The Birds."" However, it's important to note that Waugh's story has some differences from the movie plot."
What did Franz Kafka do for a day job?,Worked in insurance.,Answer: Franz Kafka worked as an insurance agent for a day job.
How many miles long is the canal which links the Pacific and Atlantic Oceans?,50 miles.,The Panama Canal is approximately 50 miles long.
Which artist created the Katzenjammer Kids?,Rudolph Dirks.,Roger Crabtree created The Katzenjammer Kids comic strip.
What disability did singer Al Hibbler have?,He was blind.,Answer: Al Hibbler was a jazz singer who was blind.
Flamenco dancer Joaquin Cortes hit the headlines in 1996 over his relationship with which supermodel?,Naomi Campbell.,Answer: Naomi Campbell.
What was the name of NATO spokesman in the 1999 Kosovo crisis?,Jamie Shea.,Answer: Jamie Shea.
Who was the defending champion when Andre Agassi first won Wimbledon singles?,Michael Stich.,The defending champion when Andre Agassi first won Wimbledon singles in 1992 was Stefan Edberg.
"How did James F Fixx, promoter of jogging for good health, die in 1984?",Heart attack while jogging.,"Answer: James F. Fixx, the promoter of jogging for good health, died by suicide via self-inflicted gunshot wound in 1984."
What was the name of the first weather satellite?,Tiros.,"Answer: ""TIros 1 (Television Infrared Observation Satellite 1)"""
What was Elvis Presley's first album which did not have his name in the title?,King Creole.,"Answer: Elvis's first album without his name in the title was ""Stage Names,"" released in 1964."
Who won the first all American French Open Men's Singles final for almost 40 years in the 90s?,Jim Courier.,Answer: Jim Courier won the first All-American men's singles title at the French Open in the 1990s.
Who hosted the early series of The Pink Panther cartoons?,Lenny Schulz.,Answer: Dean Elliott and Friz Freleng produced and directed the early series of The Pink Panter cartoons.
"In Makin' It, who was the John Travolta-type character?",Billy Manucci.,"Answer: Tony Perk, played by Jon Lovitz, was the John Travolta-type character in Makin' It."
The actor who played Jack Geller in Friends was married once to which superstar?,Elliott Gould married Barbra Streisand.,"Answer: The actor who played Jack Geller in Friends, John Aniston, was married to actress Jennifer Aniston."
Who was Greece's first socialist Prime Minister?,Papandreou.,"Answer: Georgios Papandreou was Greece's first socialist Prime Minister, serving from 1981 to 1989 and again from 2009 to 2011."
Who beat Carl Lewis's best time of 9.86 seconds for the 100 meters?,Leroy Burrell.,"The world record in the men's 100 meters, which is faster than Carl Lewis's time of 9.86 seconds, is currently held by Usain Bolt with a time of 9.58 seconds (set in 2009)."
Name France's last Wimbledon men's singles winner of this century.,Yvon Petra.,Answer: The last French man to win the Wimbledon singles title in this century is Jo-Wilfried Tsonga (in 2016).
Who was the oldest US Open golf champion of the 20th century?,Hale Irwin.,Answer: The oldest US Open golf champion of the 20th century was Horace Rawls in 1931.
Where does a bounced email return to?,Sender.,Answer: The returned email goes back to the sender's address mentioned in the email header.
