Question,Extracted Answer
Nickelodeon został założony w 1979 roku przez którą firmę?,"Pytanie: Nickelodeon został założony w 1979 roku przez which company?
Odpowiedź: Viacom"
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,Odpowiedź: 300 pounds
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,Each gold medal must contain at least 15 grams of pure gold.
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?",1 is gold and 3 are silver.
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,Onion
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,Japan
Kto był egipskim prezydentem zamordowanym w 1981 roku?,Anwar Sadat
Jak nazywają się dwie główne odnogi Nilu?,"1. First Nile
2. Second Nile"
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,"Pytanie: On the border of which two countries is the Victoria Falls located?
Odpowiedź: Zambia and Zimbabwe"
Ile czasu Jonasz spędził w brzuchu wieloryba?,3 days
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,"23 February 1964, the first U.S. television broadcast of a Billy Graham crusade."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?","Pytanie: Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?
Odpowiedź: 10 feet or 3 meters."
Za jaką „cenę” Ezaw sprzedał swoje pierworództwo swojemu bratu bliźniakowi Jakubowi?,"Pytanie: Za jaką ""cenę"" Ezaw sprzedał his brother Jacob his birthright?
Odpowiedź: A coin."
W jakim języku pierwotnie napisano Nowy Testament?,"Pytanie: W jakim języku pierwotnie napisano Nowy Testament?
Odpowiedź: Greek"
Jaka była całkowita liczba ludności świata w czasach Chrystusa?,There isn't enough information to determine the total population during the time of Christ.
"Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?","1. Pytanie: Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?
2. Odpowiedź: Richard Matheson"
Czym zajmował się Franz Kafka w swojej codziennej pracy?,Franz Kafka worked as a civil servant and a legal correspondent in his daily tasks.
Ile mil długości ma kanał łączący Pacyfik z Atlantykiem?,"2,200 miles (3,540 kilometers)"
Który artysta stworzył Katzenjammer Kids?,Odpowiedź: Pauline Bay of The Katzenjammer Kids
Jaką niepełnosprawność miał piosenkarz Al Hibbler?,"Piosenkarz Al Hibbler had the hearing loss due to the Ames-Lehman syndrome, which is a congenital condition affecting the auditory and nervous systems."
Z jaką supermodelką był związany Joaquin Cortes w 1996 roku?,1996
Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?,"Pytanie: Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?
Odpowiedź: Jamie Shea"
"Kto był obrońcą tytułu, gdy Andre Agassi po raz pierwszy wygrał Wimbledon?",Jim Courier
"Jak zmarł James F. Fixx, propagator joggingu dla zdrowia, w 1984 roku?",1984
Jak nazywał się pierwszy satelita meteorologiczny?,The first satelite meteorological was called Explorer 1.
"Jaki był pierwszy album Elvisa Presleya, który nie zawierał jego imienia w tytule?","The first album Elvis Presley released without his name in the title is ""Elvis' Gold Record."""
Kto wygrał pierwszy od 40 lat amerykański finał French Open w latach 90.?,20-year-old Andre Agassi
Kto prowadził pierwsze odcinki kreskówek Różowa Pantera?,"1967-1968, William Hanna and Joseph Barbera"
Kto w serialu Makin' It grał postać przypominającą Johna Travoltę?,Odpowiedź: Khary Payton
"Aktor, który grał Jacka Gellera w serialu Przyjaciele, był żonaty z którą gwiazdą?",Odpowiedź: Jennifer Aniston
Kto był pierwszym socjalistycznym premierem Grecji?,"Pytanie: Kto był pierwszym socjalistycznym premierem Grecji?
Odpowiedź: Costas Simitis"
"Kto pokonał najlepszy czas Carla Lewisa wynoszący 9,86 sekundy na 100 metrów?",1993
Jak nazywa się ostatni francuski zwycięzca singla na Wimbledonie w tym stuleciu?,Odpowiedź: Richard Gasquet
Kto był najstarszym zwycięzcą US Open w golfie w XX wieku?,Ben Hogan
"Gdzie wraca wiadomość e-mail, która została odrzucona?",99
Kto był najwyższym rangą amerykańskim dyplomatą przetrzymywanym w ambasadzie w Teheranie?,Answer: William Buckley
"Kim byli dwaj pierwsi ludzie, którzy jeździli po powierzchni Księżyca?",Neil Armstrong and Buzz Aldrin
Gdzie znajduje się Great White Way?,"Odpowiedź: The Great White Way is located along the eastern coast of Australia, stretching from Daly Waters in Queensland to Katherine River in Northern Territory."
Do którego szpitala przewieziono księżną Dianę po tragicznym wypadku?,Odpowiedź: Księżna Diana was treated at the Kensington and Chelsea Hospital in London.
Które dwa kraje Bliskiego Wschodu toczyły wojnę w latach 1980–1988?,Arabia Saudyjska and Iran
Z czym związana jest japońska sztuka bonsai?,"Pytanie: Z czym związana jest japońska sztuka bonsai?
Odpowiedź: Bonsai is the art of cultivating and growing miniature trees in containers, often displayed as a decorative element in East Asian cultures."
Które dwa kraje graniczą z Liechtensteinem?,"Pytanie: Które dwa kraje graniczą z Liechtensteinem?
Odpowiedź: Austria and Switzerland."
Jak często odbywają się wybory prezydenckie w USA?,"Every four years, but a special election can occur more frequently."
Jakie są dwie główne partie polityczne w USA?,The two main political parties in the USA are the Democratic Party and the Republican Party.
W jakim celu Melvil Dewey opracował swój system dziesiętny w 1876 roku?,Answer: To organize and classify books in libraries.
Jakie pierwiastki występują w stanie czystym w naturze?,"Pytanie: Jakie pierwiastki występują w stanie czystym w naturze?
Odpowiedź: Oxygen, water, nitrogen, carbon, hydrogen, and iron"
"Która wielkość ma zarówno kierunek, jak i wartość?",1. Vector
Co jest przedmiotem badań nauki zwanej kriogeniką?,"Pytanie: Co jest przedmiotem badań nauki zwanej kriogeniką?
Odpowiedź: Kriogenics is focused on the study and development of cryogenic technologies, which involve the production and manipulation of liquids at extremely low temperatures close to absolute zero."
Jakim zwierzęciem jest marmozeta?,"Marmozeta is a small primate, belonging to the Callitrichidae family."
Dlaczego ryby mają skrzela?,"Ryby have skrzela because they need a way to extract oxygen from water. The skrzela provide a large surface area for gas exchange, allowing fish to obtain the oxygen they need to survive and maintain cellular functions."
Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?,"Pytanie: Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?
Odpowiedź: ""The Prince"""
Kiedy u człowieka może wystąpić szybki ruch gałek ocznych (REM)?,"REM sleep occurs during the night when the brain is in a highly active state, and the eyes move rapidly under the control of the brain. It typically starts in infancy and lasts throughout most of life, with some people losing this ability as they age."
Które dwie planety potrzebują mniej czasu niż Ziemia na okrążenie Słońca?,Odpowiedź: Mercury and Venus
"Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?","Pytanie: Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?
Odpowiedź: Voyager 1 and Voyager 2"
Jaka jest charakterystyczna cecha gwiazdy neutronowej?,A: Small size and high density.
Góry Ural tworzą naturalną granicę między którymi dwoma kontynentami?,Europe and Asia
Co według Mikołaja Kopernika znajdowało się w centrum naszego wszechświata i jakie było powszechne przekonanie przed tym?,"Answer: Mikołaj Kopernik proposed that the Sun, not the Earth, is at the center of our solar system. Before this, the common belief was that the Earth was stationary and the Sun, along with other celestial bodies, revolved around it."
"Który męski wokalista zaśpiewał pierwszą linijkę oryginalnego singla Band Aid ""Do They Know It's Christmas""?",Odpowiedź: Bob Geldof
Który system binarny liczb używa których dwóch cyfr?,0s and 1s
Za czyją śmierć w 1968 roku był odpowiedzialny James Earl Ray?,Odpowiedź: Martin Luther King Jr.
"Jaka była trudna metoda łapania muchy, o którą poproszono Daniela w filmie Karate Kid?","1. Catch the fly with your hand and put it in a jar with a small hole to let it breathe.
2. Close the jar and place it upside down on a tree branch.
3. Wait for the mucha to get tired and fall into a bottle.
4. Open the bottle and voila, you have captured the mucha!"
"Który zespół miał hit w latach 80. z singlem ""Broken Wings""?","The English band Mr. Mister had a hit in the 1980s with the single ""Broken Wings""."
Jakie są główne cztery grupy krwi?,"Odpowiedź: Główne cztery grupy krwi to A, B, AB, and O."
"Które dwie aktorki grają główne role w filmie ""Bezdomna"" z 1992 roku?",Salma Hayek and Madonna
"Kto zagrał główne role w filmie ""Trzej Amigos"" z 1986 roku?","Steve Martin, Chevy Chase, and Alex Trebek played the main roles in the film ""Trzech Amigos"" from 1986."
Z jakich trzech pierwiastków składają się węglowodany?,"1. Carbon (C)
2. Hydrogen (H)
3. Oxygen (O)"
Jakiego koloru są pionowe pasy na fladze włoskiej?,"Pytanie: Jakiego koloru są pionowe pasy na fladze włoskiej?
Odpowiedź: Green, white, red"
Jakie są dwa tradycyjne kolory Wimbledonu?,"1. Traditional color of the Wimbledon dress code is white.
2. The second primary color used in Wimbledon's dress code is black."
Których czterech amerykańskich prezydentów twarze są wyrzeźbione na Mount Rushmore?,"The faces carved on Mount Rushmore represent four American presidents: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln."
"W druku czterokolorowym, znanym również jako CMYK, jakie cztery kolory są używane?","Cyan, Magenta, Yellow, and Key (Black)"
Jakie są pierwsze cztery księgi Biblii?,"1. Rodzaju
 2. Wyjścia
 3. Kapłańska
 4. Liczby"
Które cztery amerykańskie stany zaczynają się na literę I?,"1. Idaho
2. Illinois
3. Indiana
4. Iowa"
Bon Scott był wokalistą którego słynnego zespołu rockowego?,ACDC
"Jakie są imiona czworga dzieci, które wchodzą do Narnii w 'Lwie, Czarownicy i starej szafie'?","Piotr, Zuzanna, Edmund and Łucja"
"Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?","Pytanie: Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?
Odpowiedź: ""You shall make him a ransom for his life; you shall not take the life of this who has molested his fellow man."" (Exodus 21:37-46)"
"Jak nazywał się kot, który przeżył zatopienie Bismarcka, HMS Cossack i HMS Ark Royal podczas II wojny światowej?",O'Key
Jakie są suche składniki suchego Martini?,"Odpowiedź: Gin, wermut, i woda."
Jaki był pierwszy na świecie odrzutowy samolot pasażerski wprowadzony do służby komercyjnej?,The Concorde
Gdzie szarańcza składa jaja?,"Pytanie: Gdzie szarańcza składa jaja?
Odpowiedź: In cracks and crevices in rocks, cliffs, and other surfaces."
Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?,"Pytanie: Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?
Odpowiedź: Argentyną i Chile"
Gdzie w ludzkim ciele znajduje się kość łódeczkowata?,The carpal tunnel is where the median nerve passes through four cuneiform bones in the wrist joint.
Kto zdobył złoty medal w pływaniu na 100 metrów stylem klasycznym na Olimpiadzie w Moskwie w 1980 roku?,answers were too long and not relevant to the question
Kto zdobył złoty medal w siedmioboju na Olimpiadzie w 2000 roku?,Kamila Lićiovská
Podaj dowolny rok z życia Leonardo Da Vinci.,1472
Jakiego wzrostu są podobno Smerfy?,Odpowiedź: Mniej więcej 30 centymetrów (1 foot) wysokości.
Jaka temperatura jest taka sama w stopniach Celsjusza i Fahrenheita?,Odpowiedź: 0 degrees Celsius is equal to 32 degrees Fahrenheit.
Jakie są dwa główne składniki sosu holenderskiego?,"1. Anchovy oil
2. Dutch yellow onion"
Jakie kolory mają flagi oznaczające strefę ratowników na plaży?,"Odpowiedź: Flagsi oznaczające strefy ratowników na plaży mają trzy kolory: czerwony, biały i niebieski."
"Film ""Uwolnić orkę"" z 1993 roku opowiadał o jakim zwierzęciu?","Film ""Uwolnić orkę"" z 1993 opowiada o orkach."
Który pierwiastek jest najpowszechniejszy w ludzkim ciele?,Oxygen
Jakie dwa pierwiastki można znaleźć w centrum Ziemi?,"Odpowiedź: ""Ołów i Złoto"""
Co jako pierwszy otrzymał Louis Washkansky w 1967 roku?,21st century was the first human to receive a heart transplant in 1967.
"Jakie wymiary ma olimpijski lodowisko do łyżwiarstwa figurowego i hokeja? Czy 25x50 metrów, 27.5x50 metrów, czy 30x60 metrów?",Odpowiedź: Wymiary olimpijskiego lodowiska do łyżwiarstwa figurowego i hokeja to 30x60 metrów.
Wymień dwie żeńskie postacie z kreskówki Scooby Doo?,"1. Daphne Blake
2. Velma Dinkley"
Kto strzelił pierwszego Złotego Gola na Mistrzostwach Świata w 1998 roku?,Jimmy Floyd Hasselbainck.
Kto koronował Napoleona na cesarza?,"Pytanie: Kto koronował Napoleon on cesarza?
Odpowiedź: Charles-Maurice de Talleyrand"
Titanic miał trzy kotwice. Jaka była ich łączna waga (w tonach)?,59.4
Jak długa jest psia warta na morzu?,Odpowiedź: Zależy to od rasy i indywidualnych cech każdego psa. Przybliżone wymiary mogą się znacznie różnić.
Jakie jest stolica Szwajcarii?,Odpowiedź: Berno
