Question number,Classification
1,B
2,B
3,B
4,A
5,A
6,B
7,A
8,B
9,A
10,B
11,B
12,B
13,B
14,A
15,C
16,B
17,B
18,B
19,B
20,B
21,C
22,A
23,B
24,C
25,B
26,B
27,B
28,B
29,B
30,B
31,B
32,B
33,B
34,B
35,B
36,B
37,B
38,B
39,B
40,B
41,A
42,A
43,A
44,A
45,A
46,B
47,A
48,A
49,A
50,A
51,B
52,A
53,A
54,A
55,A
56,A
57,A
58,B
59,A
60,A
61,B
62,A
63,A
64,B
65,B
66,A
67,A
68,B
69,A
70,A
71,A
72,A
73,A
74,A
75,B
76,B
77,B
78,B
79,B
80,A
81,C
82,C
83,B
84,A
85,A
86,B
87,B
88,B
89,A
90,A
91,B
92,B
93,A
94,A
95,B
96,B
97,B
98,B
99,A
