Question,Answer,Predicted Answers
Nickelodeon został założony w 1979 roku przez którą firmę?,Warner Amex,Viacom
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,350 funtów. Minimum to 200 funtów,1200 kg
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,Co najmniej 6 gramów. Srebrne medale muszą ważyć co najmniej .925 srebra sterlingowego,"92,5%"
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","Tylko trofeum Wimbledonu jest złote; pozostałe, czyli U.S. Open, French Open i Australian Open, są srebrne","W tenisie Wielki Szlem to 4 turnieje: Australian Open, French Open, Wimbledon i US Open. Złote trofea to 18, srebrne - 26."
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,Cebula. Jej okrągły kształt symbolizował wieczność,"Warzywem, na którym starożytni Egipcjanie składały przysięgę, był lilia."
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,"Wenezuela, gdzie roczne spożycie makaronu wynosi 27,9 funta",Japonia
Kto był egipskim prezydentem zamordowanym w 1981 roku?,Sadat,Anwar Sadat
Jak nazywają się dwie główne odnogi Nilu?,Błękitny Nil i Biały Nil,Biała i Czarna.
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,Zambia i Zimbabwe,Znalezione dzięki Google Maps
Ile czasu Jonasz spędził w brzuchu wieloryba?,Trzy dni i trzy noce,180 dni
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,Pierwszy występ The Beatles w programie The Ed Sullivan Show,"W lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę, aby obejrzeć transmisję z otwarcia Zimowych Igrzysk Olimpijskich w Squaw Valley w Kalifornii."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?",Sześć łokci i piędź,"Goliat miał ok. 2,18 m."
Za jaką „cenę” Ezaw sprzedał swoje pierworództwo swojemu bratu bliźniakowi Jakubowi?,Potrawa z soczewicy (Księga Rodzaju 25:29-34),1000 marek
W jakim języku pierwotnie napisano Nowy Testament?,Po grecku,Grecka
Jaka była całkowita liczba ludności świata w czasach Chrystusa?,Około 200 milionów,W czasach Chrystusa (lata 30-33) świat liczył około 300 milionów ludzi.
"Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?","Daphne du Maurier, najbardziej znana z powieści Rebeka",Daphne du Maurier
Czym zajmował się Franz Kafka w swojej codziennej pracy?,Pracował w ubezpieczeniach,Pracował jako urzędnik u ubezpieczeniowej spółki.
Ile mil długości ma kanał łączący Pacyfik z Atlantykiem?,50 mil,Kanał łączący Pacyfik z Atlantyk to Kanał Panamski. Ma on długość 78 km (48 mil).
Który artysta stworzył Katzenjammer Kids?,Rudolph Dirks,Quentin Blake
Jaką niepełnosprawność miał piosenkarz Al Hibbler?,Był niewidomy,Al Hibbler był niewidomy.
Która supermodelka była żoną Roda Stewarta?,Rachel Hunter,Elle Macpherson
Z jaką supermodelką był związany Joaquin Cortes w 1996 roku?,Naomi Campbell,Candy Crowder
Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?,Jamie Shea,Jamie Shea
"Kto był obrońcą tytułu, gdy Andre Agassi po raz pierwszy wygrał Wimbledon?",Michael Stich,Sampras
"Jak zmarł James F. Fixx, propagator joggingu dla zdrowia, w 1984 roku?",Zawał serca podczas joggingu,Zmarł podczas upadku ze schodów.
Jak nazywał się pierwszy satelita meteorologiczny?,Tiros,TIROS-1
"Jaki był pierwszy album Elvisa Presleya, który nie zawierał jego imienia w tytule?",King Creole,Elvis' Greatest Hits.
Kto wygrał pierwszy od 40 lat amerykański finał French Open w latach 90.?,Jim Courier,Serena Williams
Kto prowadził pierwsze odcinki kreskówek Różowa Pantera?,Lenny Schulz,Fryderyk Bajer
Kto w serialu Makin' It grał postać przypominającą Johna Travoltę?,Billy Manucci,Tony Darrow
"Aktor, który grał Jacka Gellera w serialu Przyjaciele, był żonaty z którą gwiazdą?",Elliott Gould poślubił Barbrę Streisand,Jennifer Aniston
Kto był pierwszym socjalistycznym premierem Grecji?,Papandreu,Eleftherios Venizelos
"Kto pokonał najlepszy czas Carla Lewisa wynoszący 9,86 sekundy na 100 metrów?",Leroy Burrell,Usain Bolt
Jak nazywa się ostatni francuski zwycięzca singla na Wimbledonie w tym stuleciu?,Yvon Petra,Rafael Nadal
Kto był najstarszym zwycięzcą US Open w golfie w XX wieku?,Hale Irwin,Jack Nicklaus
"Gdzie wraca wiadomość e-mail, która została odrzucona?",Nadawca,Wraca do nadawcy.
Kto był najwyższym rangą amerykańskim dyplomatą przetrzymywanym w ambasadzie w Teheranie?,Bruce Laingen,Mark Foley
"Kim byli dwaj pierwsi ludzie, którzy jeździli po powierzchni Księżyca?",David Scott i James Irwin,Neil Armstrong i Edwin Aldrin.
Gdzie znajduje się Great White Way?,Nowy Jork (Broadway),New York City
Do którego szpitala przewieziono księżną Dianę po tragicznym wypadku?,La Pitié-Salpêtrière,"Pochodzi ono za dalece, aby móc udzielić takiego typowego odpowiedzi jak ta, którą proszę o nie."
Które dwa kraje Bliskiego Wschodu toczyły wojnę w latach 1980–1988?,Iran i Irak,Irak i Iran.
Z czym związana jest japońska sztuka bonsai?,Miniaturowe drzewa,"Bonsai to sztuka uprawy roślin w niewielkich glinianych naczyniach, zwykle drzew, mająca swoje źródło w tradycjach chińskiej i japońskiej."
Które dwa kraje graniczą z Liechtensteinem?,Szwajcaria i Austria,Austria i Szwajcaria
Jak często odbywają się wybory prezydenckie w USA?,Co cztery lata,Wybory prezydenckie w USA odbywają się co cztery lata.
Jakie są dwie główne partie polityczne w USA?,Demokraci i Republikanie,Demokratyczna Partia Stanów Zjednoczonych oraz Republikanicka Partia Stanów Zjednoczonych
W jakim celu Melvil Dewey opracował swój system dziesiętny w 1876 roku?,Klasyfikowanie książek,Melvil Dewey opracował swój system dziesiętny w 1876 roku w celu ujednolicenia klasyfikacji przedmiotów naukowych.
Jakie pierwiastki występują w stanie czystym w naturze?,Pierwiastki rodzime,"H, He, Li, Be, B, C, N, O, F, Ne, Na, Mg, Al, Si, P, S, Cl, Ar, K, Ca, Sc, Ti, V, Cr, Mn, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Rb, Sr, Y, Zr, Nb, Mo, W, Sb, Te, I, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Y, Lu, Ha, Hf, Ta, WO4, Re, Os, Ir, Pt, Au, Hg, Ag, Cd, In, Sn, Sb, Bi, Po"
"Która wielkość ma zarówno kierunek, jak i wartość?",Wielkość wektorowa,Rzeczywistość
Co jest przedmiotem badań nauki zwanej kriogeniką?,Bardzo niskie temperatury,Przedmiotem badań nauki zwanej kriogeniką są materie w niskiej temperaturze.
Jakim zwierzęciem jest marmozeta?,Amerykańska małpa,Marmozeta to małe dzikie zwierzę z rodziny psowatych.
Dlaczego ryby mają skrzela?,Aby wchłaniać tlen,Skrzela umożliwiają rybom oddychanie powietrzem atmosferycznym.
Nazwę jakiej rośliny Machiavelli wykorzystał jako tytuł jednej ze swoich książek?,Mandragora,Florencja.
Kiedy u człowieka może wystąpić szybki ruch gałek ocznych (REM)?,Podczas snu,Szybki ruch gałek ocznych (REM) u człowieka może wystąpić w trakcie snu.
Które dwie planety potrzebują mniej czasu niż Ziemia na okrążenie Słońca?,Merkury i Wenus,Wenus i Merkury.
"Jak nazywały się dwie sondy kosmiczne wystrzelone w 1977 roku, które przesłały niezwykłe zdjęcia Jowisza, Saturna, Urana i Neptuna?",Voyager 1 i Voyager 2,Voyager 1 i 2
Jaka jest charakterystyczna cecha gwiazdy neutronowej?,Wielka gęstość,Znajduje się tam jądro otoczone bardzo cienką warstwą materii.
Góry Ural tworzą naturalną granicę między którymi dwoma kontynentami?,Azją i Europą,Europa i Azja
Co według Mikołaja Kopernika znajdowało się w centrum naszego wszechświata i jakie było powszechne przekonanie przed tym?,"Słońce - wcześniej ludzie wierzyli, że to Ziemia","Według Mikołaja Kopernika Słońce znajdowało się w centrum naszego wszechświata. Przed Kopernikiem powszechnie uważano, że Ziemia znajduje się w centrum Wszechświata."
"Który męski wokalista zaśpiewał pierwszą linijkę oryginalnego singla Band Aid ""Do They Know It's Christmas""?",Paul Young,Bing Crosby
Który system binarny liczb używa których dwóch cyfr?,1 i 0,Dwójka
Za czyją śmierć w 1968 roku był odpowiedzialny James Earl Ray?,Martina Luthera Kinga,Martin Luther King Jr.
"Jaka była trudna metoda łapania muchy, o którą poproszono Daniela w filmie Karate Kid?",Użycie pałeczek do jej złapania,"W filmie Karate Kid Daniel Sanderson był proszony przez swojego mistrza Mr. Miyagiego, aby używać metody ""wschodniego bicia"", która polegała na wystrzeleniu energii fizycznej w kierunku przeciwnika, a nie bezpośrednim atakiem."
"Który zespół miał hit w latach 80. z singlem ""Broken Wings""?",Mr. Mister,Metallica
Jakie są główne cztery grupy krwi?,"A, B, AB i 0","ABO, Rh, MNS, Kell"
"Które dwie aktorki grają główne role w filmie ""Bezdomna"" z 1992 roku?",Bridget Fonda i Jennifer Jason Leigh,Kasia Smutniak i Maja Komorowska
"Kto zagrał główne role w filmie ""Trzej Amigos"" z 1986 roku?","Chevy Chase, Steve Martin, Martin Short","Steve Martin, Chevy Chase oraz Martin Short"
Z jakich trzech pierwiastków składają się węglowodany?,"Węgiel, Wodór i Tlen","C, H, O"
Jakiego koloru są pionowe pasy na fladze włoskiej?,"Zielony, Biały i Czerwony",Białe
Jakie są dwa tradycyjne kolory Wimbledonu?,Zielony i Fioletowy,Białe koszulki i biały twardy placówek
Których czterech amerykańskich prezydentów twarze są wyrzeźbione na Mount Rushmore?,"George Washington, Thomas Jefferson, Theodore Roosevelt i Abraham Lincoln","George Washington, Thomas Jefferson, Theodore Roosevelt oraz Abraham Lincoln"
"W druku czterokolorowym, znanym również jako CMYK, jakie cztery kolory są używane?","Cyjan, Magenta, Żółty i Czarny","Kolorem cyjanu (C) jest niebieski, magenta (M), żółcieniu (Y) oraz białe (K)."
Jakie są pierwsze cztery księgi Biblii?,"Księga Rodzaju, Księga Wyjścia, Księga Kapłańska, Księga Liczb","Pierwsze cztery księgi Biblii to: Rodzaje, Liczby, Powtórzenie oraz Księga Wyjścia."
Które cztery amerykańskie stany zaczynają się na literę I?,"Idaho, Illinois, Indiana i Iowa","Idaho, Iowa, Illinois i Indiana"
Bon Scott był wokalistą którego słynnego zespołu rockowego?,AC/DC,AC/DC
"Jakie są imiona czworga dzieci, które wchodzą do Narnii w 'Lwie, Czarownicy i starej szafie'?","Lucy, Peter, Susan i Edmund","Eustachiusz, Edmund, Łucja i Ługoszek"
"Oko za oko, ząb za ząb. Według Księgi Wyjścia, co następuje dalej?","Ręka za rękę, noga za nogę",Kara śmierci.
"Jak nazywał się kot, który przeżył zatopienie Bismarcka, HMS Cossack i HMS Ark Royal podczas II wojny światowej?",Niezatapialny Sam,Kot nazywał się Jack.
Jakie są suche składniki suchego Martini?,Gin i Wermut,"Gin, woda, cytrusowe oliwy, wanilia, pomarańcza."
Jaki był pierwszy na świecie odrzutowy samolot pasażerski wprowadzony do służby komercyjnej?,Comet,Douglas DC-4
Gdzie szarańcza składa jaja?,W piasku,W gniazdach lub dziuplach drzew.
Region geograficzny Patagonii znajduje się między którymi dwoma krajami Ameryki Południowej?,Argentyną i Chile,Chile i Argentyna
Gdzie w ludzkim ciele znajduje się kość łódeczkowata?,W nadgarstku,"Kość łódeczkowata (łac. ""os sphenoidale"") to jedna z kości twarzowych, położona wewnętrznie do kości skroniowej, a zewnętrznie do kości potylicznej."
Kto zdobył złoty medal w pływaniu na 100 metrów stylem klasycznym na Olimpiadzie w Moskwie w 1980 roku?,Duncan Goodhew,USA - Michael Stamm
Kto zdobył złoty medal w siedmioboju na Olimpiadzie w 2000 roku?,Denise Lewis,Cezary Żlebski
Podaj dowolny rok z życia Leonardo Da Vinci.,1452 - 1519,1452
Jakiego wzrostu są podobno Smerfy?,Wysokości trzech jabłek,Smerfy mają wzrost przeciętnie 10 cm.
Jaka temperatura jest taka sama w stopniach Celsjusza i Fahrenheita?,-40 stopni,0 °C
Jakie są dwa główne składniki sosu holenderskiego?,Żółtka jaj i masło,Sos holenderski składa się głównie z majonezu oraz oleju roślinnego (np. słonecznika).
Jakie kolory mają flagi oznaczające strefę ratowników na plaży?,Czerwony i Żółty,Flagę oznaczającą strefę ratowniczą na plaży stanowi czerwona flaga.
"Film ""Uwolnić orkę"" z 1993 roku opowiadał o jakim zwierzęciu?",Orka (Wieloryb zabójca),Orce
Który pierwiastek jest najpowszechniejszy w ludzkim ciele?,Tlen 65%,Czytanek
Jakie dwa pierwiastki można znaleźć w centrum Ziemi?,Żelazo i Nikiel,Odpowiedź: Osiem
Co jako pierwszy otrzymał Louis Washkansky w 1967 roku?,Przeszczep ludzkiego serca,Nagroda Nobla w dziedzinie fizjologii lub medycyny.
