Question,Answers,Predicted answers
"Коя компания основава Никелодеон през 1979 година?","Уорнър Амекс","ViacomCBS"
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?","350 паунда (приблизително 158.76 кг). Минимумът е 200 паунда (приблизително 90.72 кг).","100 паунда"
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?","Най-малко 6 грама. Сребърните медали трябва да са поне .925 стерлингово сребро.","6 грама"
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?","Само трофеят на Уимбълдън е златен останалите - за Откритото първенство на САЩ, Откритото първенство на Франция и Откритото първенство на Австралия - са сребърни.","2 от 4 трофея на Големия шлем по тенис са от злато (Австралия и САЩ), а 2 са от сребро (Ролан Гарос и Уимбълдън)."
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?","Лукът. Неговата кръгла форма символизирa вечността.","папирус"
"Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно. Коя държава е на второ място?","Венецуела, където годишната консумация е близо 13 килограма.","_"
"Кой е бил Египетският президент, убит през 1981 година?","Садат","Ануар Садат"
"Между кои държави се намира водопадът Виктория?","Замбия и Зимбабве","Замбия и Зимбабве"
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?","Три дена и три нощи","Три дни"
"Кои са двете основни ръкави на река Нил?","Сини Нил и Бели Нил","Горен Нил (известен също като Бял Нил) и Долен Нил (известен също като Сини Нил)"
"За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя?","Първото появяване на Бийтълс в шоуто на Ед Съливан.","Първото излъчване на телевизионното предаване The Hour of Decision"
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?","Шест лакътя и една педя, равнявайки се на приблизително 297.18 см","40 фута (12 метра)"
"За каква 'цена' Исав продава първородството си на брат си Яков?","Вариво от леща (Битие 25:29-34)","400 кози"
"На какъв език е написан Новият завет?","Гръцки език","Гръцки"
"Какво е било световното население по време на Христос?","Около 200 милиона души","1950 г."
"Кой е авторът на историята, на която е базиран филмът на Алфред Хичкок 'Птиците'?","Дафни дю Морие, най-известна с романа й Ребека","Дрю Баримор"
"С какво се е занимавал Франц Кафка през деня?","Работил е като застраховател","Франц Кафка е бил застрахователен агент през деня"
"Колко километра е дълъг каналът, който свързва Тихия и Атлантическия океан?","80 километра","9600 км"
"Кой художник създава комикса Katzenjammer Kids?","Рудолф Диркс","Ричард Ф. Рик Фейман"
"Какъв е бил физическият недъг на певеца Ал Хиблър?","Бил е сляп","Ал Хиблър имаше заешка устна"
"Коя супермоделка е била омъжена за Род Стюарт?","Рейчъл Хънтър","Рене Стрелър и Пени Ланкастър"
"Фламенко танцьорът Хоакин Кортес нашумява през 1996 г. със своята връзка с кой супермодел?","Наоми Кембъл","1996 г."
"Как се казва говорителят на НАТО по време на кризата в Косово през 1999 година?","Джеймс Шифер","Джейми Шей"
"Кой беше противникът на Андре Агаси, когато той спечели първия си титул на Уимбълдън в сингъл?","Майкъл Стич","1992 г"
"Как загива Джеймс Фикс, човекът, който възхваляваше бягането като здравословно, през 1984 година?","Сърдечен удар по време на джогинг","2023 г"
"Как се казва първият метеорологичен сателит?","Тирос","1958 г"
"Какво е името на първия албум на Елвис Пресли, който не съдържа името на певеца?","Крал Креол","1956 г"
"Кой водеше ранните серии на анимацията 'Пинко Розовата пантера'?","Лени Шулц","1964 г"
"Кой спечели първия изцяло американски финал на Откритото първенство на Франция за почти 40 години през 90-те?","Джим Къриър","1990 г."
"В 'Makin' It', сериал от 80те, кой е героят от типа на Джон Траволта?","Били Манучи","Тони Данза"
"Героят, играл Джак Гелър в комедийния сериал 'Приятели', бил женен за коя известна личност?","Елиът Гулд е женен за Барбра Стрейзанд","Кортни Кокс"
"Кой е първият социалистически премиер на Гърция?","Андрѐас Георгиу Папандрѐу","Андреас Папандреу"
"Кой победи най-доброто време на Карл Луис от 9,86 секунди за 100 метра?","Лерой Бурел","Юсейн Болт"
"Кой e последният французин, спечелил Уимбълдън на сингъл през този век?","Ивон Петра","2018 г"
"Кой e най-възрастният шампион на Откритото първенство на САЩ по голф през 20-ти век?","Хейл Ирвин","1958 г"
"Къде се връща изпратен имейл, ако не бъде доставен?","При подателя","В пощенския сървър на подателя"
"Кой e старшият американски дипломат, държан в посолството на САЩ в Техеран?","Брус Лайнген","60 минути"
"Кои са първите двама мъже шофирали на Луната?","Дейвид Скот и Джеймс Ъруин","Нийл Армстронг и Бъз Олдрин"
"Къде се намира Великия бял път?","Ню Йорк (Бродуей)","_"
"В коя болница e откарана принцеса Даяна след катастрофата?","Ла Пити-Салпетриер (La Pitié-Salpêtrière), университетска болница в Париж, Франция","Pitie Salpetriere Hospital в Париж"
"Кои две близкоизточни страни воюваха от 1980 до 1988 година?","Иран и Ирак","Ирак и Иран"
"С какво е свързано японското изкуство бонсай?","Миниатюрни дървета","Отглеждане на миниатюрни дървета и растения в контейнери"
"Кои две държави имат граница с Лихтенщайн?","Швейцария и Австрия","Швейцария и Австрия"
"Колко често се провеждат президентските избори в САЩ?","На всеки 4 години","4 години"
"Кои са двете основни политически партии в САЩ?","Демократи и републиканци","Републиканска партия и Демократическа партия"
