Question,Answers,Predicted Answers
Nickelodeon został założony w 1979 roku przez którą firmę?,Warner Amex,"Pytanie: Nickelodeon został założony w 1979 roku przez which company?
Odpowiedź: Viacom"
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,350 funtów. Minimum to 200 funtów,Odpowiedź: 300 pounds
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,Co najmniej 6 gramów. Srebrne medale muszą ważyć co najmniej .925 srebra sterlingowego,Each gold medal must contain at least 15 grams of pure gold.
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","Tylko trofeum Wimbledonu jest złote; pozostałe, czyli U.S. Open, French Open i Australian Open, są srebrne",1 is gold and 3 are silver.
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,Cebula. Jej okrągły kształt symbolizował wieczność,Onion
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,"Wenezuela, gdzie roczne spożycie makaronu wynosi 27,9 funta",Japan
Kto był egipskim prezydentem zamordowanym w 1981 roku?,Sadat,Anwar Sadat
Jak nazywają się dwie główne odnogi Nilu?,Błękitny Nil i Biały Nil,"1. First Nile
2. Second Nile"
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,Zambia i Zimbabwe,"Pytanie: On the border of which two countries is the Victoria Falls located?
Odpowiedź: Zambia and Zimbabwe"
Ile czasu Jonasz spędził w brzuchu wieloryba?,Trzy dni i trzy noce,3 days
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,Pierwszy występ The Beatles w programie The Ed Sullivan Show,"23 February 1964, the first U.S. television broadcast of a Billy Graham crusade."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?",Sześć łokci i piędź,"Pytanie: Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?
Odpowiedź: 10 feet or 3 meters."
Za jaką „cenę” Ezaw sprzedał swoje pierworództwo swojemu bratu bliźniakowi Jakubowi?,Potrawa z soczewicy (Księga Rodzaju 25:29-34),"Pytanie: Za jaką ""cenę"" Ezaw sprzedał his brother Jacob his birthright?
Odpowiedź: A coin."
W jakim języku pierwotnie napisano Nowy Testament?,Po grecku,"Pytanie: W jakim języku pierwotnie napisano Nowy Testament?
Odpowiedź: Greek"
Jaka była całkowita liczba ludności świata w czasach Chrystusa?,Około 200 milionów,There isn't enough information to determine the total population during the time of Christ.
"Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?","Daphne du Maurier, najbardziej znana z powieści Rebeka","1. Pytanie: Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?
2. Odpowiedź: Richard Matheson"
Czym zajmował się Franz Kafka w swojej codziennej pracy?,Pracował w ubezpieczeniach,Franz Kafka worked as a civil servant and a legal correspondent in his daily tasks.
Ile mil długości ma kanał łączący Pacyfik z Atlantykiem?,50 mil,"2,200 miles (3,540 kilometers)"
Który artysta stworzył Katzenjammer Kids?,Rudolph Dirks,Odpowiedź: Pauline Bay of The Katzenjammer Kids
Jaką niepełnosprawność miał piosenkarz Al Hibbler?,Był niewidomy,"Piosenkarz Al Hibbler had the hearing loss due to the Ames-Lehman syndrome, which is a congenital condition affecting the auditory and nervous systems."
Z jaką supermodelką był związany Joaquin Cortes w 1996 roku?,Naomi Campbell,1996
Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?,Jamie Shea,"Pytanie: Jak nazywał się rzecznik NATO podczas kryzysu w Kosowie w 1999 roku?
Odpowiedź: Jamie Shea"
"Kto był obrońcą tytułu, gdy Andre Agassi po raz pierwszy wygrał Wimbledon?",Michael Stich,Jim Courier
"Jak zmarł James F. Fixx, propagator joggingu dla zdrowia, w 1984 roku?",Zawał serca podczas joggingu,1984
Jak nazywał się pierwszy satelita meteorologiczny?,Tiros,The first satelite meteorological was called Explorer 1.
"Jaki był pierwszy album Elvisa Presleya, który nie zawierał jego imienia w tytule?",King Creole,"The first album Elvis Presley released without his name in the title is ""Elvis' Gold Record."""
Kto wygrał pierwszy od 40 lat amerykański finał French Open w latach 90.?,Jim Courier,20-year-old Andre Agassi
Kto prowadził pierwsze odcinki kreskówek Różowa Pantera?,Lenny Schulz,"1967-1968, William Hanna and Joseph Barbera"
Kto w serialu Makin' It grał postać przypominającą Johna Travoltę?,Billy Manucci,Odpowiedź: Khary Payton
"Aktor, który grał Jacka Gellera w serialu Przyjaciele, był żonaty z którą gwiazdą?",Elliott Gould poślubił Barbrę Streisand,Odpowiedź: Jennifer Aniston
Kto był pierwszym socjalistycznym premierem Grecji?,Papandreu,"Pytanie: Kto był pierwszym socjalistycznym premierem Grecji?
Odpowiedź: Costas Simitis"
"Kto pokonał najlepszy czas Carla Lewisa wynoszący 9,86 sekundy na 100 metrów?",Leroy Burrell,1993
Jak nazywa się ostatni francuski zwycięzca singla na Wimbledonie w tym stuleciu?,Yvon Petra,Odpowiedź: Richard Gasquet
Kto był najstarszym zwycięzcą US Open w golfie w XX wieku?,Hale Irwin,Ben Hogan
"Gdzie wraca wiadomość e-mail, która została odrzucona?",Nadawca,99
Kto był najwyższym rangą amerykańskim dyplomatą przetrzymywanym w ambasadzie w Teheranie?,Bruce Laingen,Answer: William Buckley
"Kim byli dwaj pierwsi ludzie, którzy jeździli po powierzchni Księżyca?",David Scott i James Irwin,Neil Armstrong and Buzz Aldrin
Gdzie znajduje się Great White Way?,Nowy Jork (Broadway),"Odpowiedź: The Great White Way is located along the eastern coast of Australia, stretching from Daly Waters in Queensland to Katherine River in Northern Territory."
Do którego szpitala przewieziono księżną Dianę po tragicznym wypadku?,La Pitié-Salpêtrière,Odpowiedź: Księżna Diana was treated at the Kensington and Chelsea Hospital in London.
Które dwa kraje Bliskiego Wschodu toczyły wojnę w latach 1980–1988?,Iran i Irak,Arabia Saudyjska and Iran
Z czym związana jest japońska sztuka bonsai?,Miniaturowe drzewa,"Pytanie: Z czym związana jest japońska sztuka bonsai?
Odpowiedź: Bonsai is the art of cultivating and growing miniature trees in containers, often displayed as a decorative element in East Asian cultures."
Które dwa kraje graniczą z Liechtensteinem?,Szwajcaria i Austria,"Pytanie: Które dwa kraje graniczą z Liechtensteinem?
Odpowiedź: Austria and Switzerland."
Jak często odbywają się wybory prezydenckie w USA?,Co cztery lata,"Every four years, but a special election can occur more frequently."
Jakie są dwie główne partie polityczne w USA?,Demokraci i Republikanie,The two main political parties in the USA are the Democratic Party and the Republican Party.
W jakim celu Melvil Dewey opracował swój system dziesiętny w 1876 roku?,Klasyfikowanie książek,Answer: To organize and classify books in libraries.
Jakie pierwiastki występują w stanie czystym w naturze?,Pierwiastki rodzime,"Pytanie: Jakie pierwiastki występują w stanie czystym w naturze?
Odpowiedź: Oxygen, water, nitrogen, carbon, hydrogen, and iron"
"Która wielkość ma zarówno kierunek, jak i wartość?",Wielkość wektorowa,1. Vector
Co jest przedmiotem badań nauki zwanej kriogeniką?,Bardzo niskie temperatury,"Pytanie: Co jest przedmiotem badań nauki zwanej kriogeniką?
Odpowiedź: Kriogenics is focused on the study and development of cryogenic technologies, which involve the production and manipulation of liquids at extremely low temperatures close to absolute zero."
Jakim zwierzęciem jest marmozeta?,Amerykańska małpa,"Marmozeta is a small primate, belonging to the Callitrichidae family."
Dlaczego ryby mają skrzela?,Aby wchłaniać tlen,"Ryby have skrzela because they need a way to extract oxygen from water. The skrzela provide a large surface area for gas exchange, allowing fish to obtain the oxygen they need to survive and maintain cellular functions."
