question,answers
How did Jock die in Dallas?,Helicopter accident
Who wrote the novel Evening Class?,Maeve Binchy
What was Prince's last No 1 of the 80s?,Batdance
Nickelodeon was founded in 1979 by which company?,Warner Amex
"In cross-country bike racing, what do the initials BMX represent?",Bicycle moto x (cross)
"After retiring as a player, with what team did baseball great Babe Ruth spend one year as a coach?",The Brooklyn Dodgers in 1938
What is the maximum weight permitted for calves in rodeo calf-roping competition?,350 pounds. The minimum is 200 pounds
What baseball player hit the only home run of his 212-year major league career off his own brother?,"Joe Nickro in 1976. Nickro, a pitcher with the Houston Astros, hit a four-bagger off his brother Phil, who was pitching fro the Atlanta Braves. Houston won the game, 4-3"
Brooks Robinson and Carl Yastrzemski hold the major league baseball record for playing the greatest number of seasons with the same team. How many years did they play-- and with what teams?,"23 years. Third baseman Robinson played with the Baltimore Orioles from 1955 to 1977; Carl Yastrzemski, outfielder/first baseman, played with the Boston Red Sox from 1961 to 1983"
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",At least 6 grams. Silver medals must be at least .925 sterling silver
Who was the famous great-great-grandfather of San Francisco 49er quarterback Steve Young?,Mormon leader Brigham Young
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"Only the Wimbledon trophy is gold; the others--for the U.S. Open, the French Open and the Australian Open--are sliver"
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,The onion. Its round shape symbolized eternity
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,"Venezuela, where the annual pasta consumption is 27.9 pounds"
"When Birdseye introduced the first frozen food in 1930, what did the company call it/",Frosted food
Who was the Egyptian president who was assassinated in 1981?,Sadat
What are the two main arms of the River Nile called?,Blue Nile and White Nile
On the border of which two countries is Victoria Falls?,Zambia and Zimbabwe
Who had a big 60s No 1 with Tossin' and Turnin'?,Bobby Lewis
What date is Father's Day?,3rd Sunday in June
Leslie Nielsen trained in which of the armed services in WWII?,Royal Canadian
"""What couple live next door to Dagwood and Blondie Bumstead in """"Blondie""""?""",Herb and Tootsie Woodley
What was the title of Mac West's 1959 autobiography?,Goodness Had Nothing to Do With It
"""What words did Lewis Carroll combine to come up with the term """"chortle"""" in Through a Looking-Glass?""",Chuckle and snort
"""Shakespeare wrote that """"brevity is the soul of wit."""" What did noted wit Dorothy Parker say it was?""",The soul of lingerie
