Question number,Classification
1,B
2,B
3,A
4,B
5,B
6,C
7,A
8,A
9,A
10,A
11,B
12,A
13,A
14,A
15,B
16,A
17,A
18,A
19,A
20,A
21,B
22,A
23,A
24,B
25,A
26,A
27,B
28,B
29,B
30,B
31,B
32,A
33,B
34,B
35,B
36,A
37,B
38,B
39,A
40,A
41,A
42,A
43,A
44,A
45,A
46,A
47,A
48,A
49,A
50,A
51,A
52,B
53,A
54,A
55,A
56,A
57,A
58,C
59,B
60,A
61,A
62,A
63,A
64,A
65,A
66,A
67,A
68,B
69,A
70,A
71,A
72,A
73,A
74,A
75,A
76,B
77,B
78,A
79,A
80,B
81,A
82,A
83,B
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,A
92,A
93,A
94,B
95,A
96,B
97,B
98,B
99,B
100,A
