Question number,Classification
1,B
2,B
3,A
4,B
5,B
6,B
7,A
8,A
9,A
10,A
11,B
12,B
13,A
14,A
15,B
16,B
17,A
18,A
19,B
20,A
21,A
22,A
23,B
24,B
25,A
26,B
27,A
28,B
29,B
30,B
31,B
32,B
33,B
34,B
35,A
36,B
37,B
38,A
39,A
40,A
41,A
42,A
43,A
44,A
45,A
46,C
47,A
48,A
49,A
50,A
51,B
52,A
53,A
54,A
55,A
56,A
57,A
58,B
59,A
60,A
61,B
62,A
63,A
64,B
65,A
66,A
67,A
68,A
69,A
70,A
71,A
72,A
73,A
74,A
75,A
76,B
77,A
78,A
79,A
80,A
81,A
82,B
83,B
84,A
85,B
86,B
87,A
88,B
89,A
90,A
91,A
92,A
93,A
94,A
95,B
96,A
97,B
98,B
99,B
