Question,Model Answer
Nickelodeon was founded in 1979 by which company?,Warner Communications
What is the maximum weight permitted for calves in rodeo calf-roping competition?,400 pounds
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",6 grams
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,All four Grand Slam trophies are gold.
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,Lotus
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,This question cannot be answered from the information provided.
Who was the Egyptian president who was assassinated in 1981?,Anwar Sadat
What are the two main arms of the River Nile called?,The White Nile and the Blue Nile.
On the border of which two countries is Victoria Falls?,Zambia and Zimbabwe
How much time did Jonah spend in the belly of the whale?,Three days and three nights.
For what event in February 1964 did evangelist Billy Graham break his strict rule against watching TV on Sunday?,The assassination of President John F. Kennedy.
"How tall was Goliath, the Philistine giant slain by David with a stone hurled from a sling?",Six cubits and a span
"In the Bible, for what 'price' did Esau sell his birthright to his younger twin brother, Jacob?",A bowl of lentil stew.
In what language was the New Testament originally written?,Greek
What was the total population of the world at the time of Christ?,"It's impossible to know the exact world population at the time of Christ. Estimates vary widely, ranging from **200 million to 300 million**."
Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,Daphne du Maurier
What did Franz Kafka do for a day job?,Insurance lawyer
How many miles long is the canal which links the Pacific and Atlantic Oceans?,Panama Canal  is approximately 50 miles (80 kilometers) long.
Which artist created the Katzenjammer Kids?,Rudolph Dirks
What disability did singer Al Hibbler have?,Al Hibbler was blind.
Which supermodel was married to Rod Stewart?,Jerry Hall
Flamenco dancer Joaquin Cortes hit the headlines in 1996 over his relationship with which supermodel?,Naomi Campbell
What was the name of NATO spokesman in the 1999 Kosovo crisis?,Jamie Shea
Who was the defending champion when Andre Agassi first won Wimbledon singles?,Pete Sampras
"How did James F Fixx, promoter of jogging for good health, die in 1984?",Heart attack  while jogging.
What was the name of the first weather satellite?,Tiros-1
What was Elvis Presley's first album which did not have his name in the title?,*Elvis Sings the Wonderful World of Christmas*
Who won the first all American French Open Men's Singles final for almost 40 years in the 90s?,Michael Chang
Who hosted the early series of The Pink Panther cartoons?,David Niven
"In Makin' It, who was the John Travolta-type character?",**Mark Wahlberg**
The actor who played Jack Geller in Friends was married once to which superstar?,Courteney Cox
Who was Greece's first socialist Prime Minister?,Andreas Papandreou
Who beat Carl Lewis's best time of 9.86 seconds for the 100 meters?,Usain Bolt
Name France's last Wimbledon men's singles winner of this century.,Richard Gasquet
Who was the oldest US Open golf champion of the 20th century?,Julius Boros
Where does a bounced email return to?,The sender's email address.
Who was the senior US diplomat held in the US Embassy in Tehran?,Richard Holbrooke
Who were the first two men to drive on the Moon?,Neil Armstrong and Buzz Aldrin
Where is the Great White Way?,New York City
Which hospital was Princess Diana taken to after her tragic car accident?,Pitié-Salpêtrière Hospital
Which two Middle-Eastern countries fought a war from 1980 to 1988?,Iran and Iraq
With what is the Japanese art of bonsai concerned?,Cultivating miniature trees
Which two countries have a border with Liechtenstein?,Austria and Switzerland
How often are American presidential elections held?,Every four years
Which are the two main political parties in the USA?,Democratic and Republican
For what purpose did Melvil Dewey devise his decimal system in 1876?,To organize library books.
What kind of elements are found in a pure state in nature?,Elements found in a pure state in nature are called **native elements**.
Which quantity has direction as well as magnitude?,Vector
What is studied in the science of cryogenics?,The science of cryogenics studies the production and effects of very low temperatures.
What kind of an animal is a marmoset?,Monkey
Why do fish have gills?,Fish have gills to breathe underwater.  They extract dissolved oxygen from the water using these specialized organs.
Machiavelli used which plant's name as the title of one of his books?,Prince
When might a person show rapid eye movement (REM)?,During sleep.
Which two planets take less time than Earth to orbit the sun?,Mercury and Venus
"What was the name of two space probes launched in 1977 which sent back remarkable pictures of Jupiter, Saturn, Uranus and Neptune?",Voyager 1 and Voyager 2
What is the defining feature of a neutron star?,Extremely dense core of a collapsed star.
The Ural Mountains form a natural border between which two continents?,Europe and Asia
"What did Nicholas Copernicus argue was at the centre of our universe, and what was the common belief before then?",).
Which male singer sang the opening line of the original Band Aid single Do They Know It's Christmas?,Bob Geldof
The binary system of numbers uses which two numerical digits?,0 and 1
James Earl Ray was responsible for who's death in 1968?,Martin Luther King Jr.
What was the challanging method of catching a fly asked of Daniel in the film The Karate Kid?,Catching it with chopsticks.
Which band had a hit in the 1980s with the single Broken Wings?,Mr. Mister
What are the main four blood groups?,"A, B, AB, O"
Which two actresses play the leading roles in the 1992 film Single White Female?,Bridget Fonda and Jennifer Jason Leigh
Who played the title roles in the 1986 film The Three Amigos?,"Steve Martin, Chevy Chase, and Martin Short"
Which three elements make up carbohydrates?,"Carbon, hydrogen, and oxygen"
What colour are the vertical stripes of the Italian Flag?,Green
What are the two traditional colours of Wimbledon?,Green and purple
Which four American Presidents have their faces scultped on Mount Rushmore?,"George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln."
"In four colour process printing, which is also known as CMYK, which are the only four colours that are used?","Cyan, Magenta, Yellow, and Key (Black)"
What are the first four books of the Bible?,"Genesis, Exodus, Leviticus, Numbers"
Which four American states begin with the letter I?,"Idaho, Illinois, Indiana, Iowa"
Bon Scott was the lead singer for which famous rock band?,AC/DC
"What are the first names of the four children who enter Narnia in The Lion, The Witch And The Wardrobe?","Peter, Susan, Edmund, Lucy"
"Eye for eye, tooth for tooth.  According to Exodus what comes next?","""Life for life."" 


Let me know if you have any other questions!"
"What was the name of the cat that survived the sinking of the Bismarck, HMS Cossack and the HMS Ark Royal in WW II ?",This is a trick question!  There's no record of a cat surviving those specific ship sinkings.
What are the dry constituents of dry Martini?,Gin and dry vermouth.
What was the world's first jet-driven airliner to enter commercial service?,De Havilland Comet
Where do locusts lay their eggs?,In the soil.
The geographic region of Patagonia is situated between which two South American countries?,Argentina and Chile
Where in the human body would you find the scaphoid bone?,Wrist
Who won a gold medal in the 100 metres breaststroke at the 1980 Olympics in Moscow?,David Wilkie
"Who won the gold medal in the heptathlon in the 2000 Olympics?""","Answer: ""Denise Lewis""  


Let's get started! Ask me your question. 😊"
Name any year that Leonardo Da Vinci was alive.,1452
The Smurfs are described as being how tall?,Three apples tall.
What temperature is the same in Celsius as it is in Fahrenheit?,-40 degrees
What are the two main ingredients of Hollandaise sauce?,Egg yolks and clarified butter
"On a beach, what colours are the flags denoting a lifeguard area?",Red and yellow
The 1993 movie Free Willy was centred around what type of animal?,Orca (killer whale)
Which element is most common in the human body?,Oxygen
Which two elements would you find at the centre of the Earth?,Iron and nickel
"In 1967, Louis Washkansky became the first person to receive what?",A human-to-human heart transplant.
"What size is an Olympic sized ice rink used for figure skating and ice hockey? Is it 25x50 metres, 27.5x50 metres, or 30x60 metres?","An Olympic-sized ice rink for figure skating and ice hockey is **200 feet x 85 feet**, which is approximately **61 meters x 26 meters**.  


Let me know if you have any other questions!"
Name the two female characters in Scooby Doo?,Daphne and Velma
Who scored the first ever Golden Goal in the 1998 World Cup?,**Oliver Bierhoff**
Who crowned Napoleon as Emperor?,Pope Pius VII
The Titanic had three anchors.What was their combined weight (in tons)?,47 tons
How long is a dog watch at sea?,4 hours
What is the capital of Switzerland?,Bern
