Question,Model Answer
Nickelodeon został założony w 1979 roku przez którą firmę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Nickelodeon został założony w 1979 roku przez którą firmę? [/INST] Viacom"
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo? [/INST] 1200 kg"
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl? [/INST] 92,5%"
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych? [/INST] W tenisie Wielki Szlem to 4 turnieje: Australian Open, French Open, Wimbledon i US Open. Złote trofea to 18, srebrne - 26."
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Na jakim warzywie starożytny Egipcjanin składał przysięgę? [/INST] Warzywem, na którym starożytni Egipcjanie składały przysięgę, był lilia."
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech? [/INST] Japonia"
Kto był egipskim prezydentem zamordowanym w 1981 roku?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Kto był egipskim prezydentem zamordowanym w 1981 roku? [/INST] Anwar Sadat"
Jak nazywają się dwie główne odnogi Nilu?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Jak nazywają się dwie główne odnogi Nilu? [/INST] Biała i Czarna."
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Na granicy których dwóch krajów znajduje się Wodospad Wiktorii? [/INST] Znalezione dzięki Google Maps"
Ile czasu Jonasz spędził w brzuchu wieloryba?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Ile czasu Jonasz spędził w brzuchu wieloryba? [/INST] 180 dni"
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,"[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę? [/INST] W lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę, aby obejrzeć transmisję z otwarcia Zimowych Igrzysk Olimpijskich w Squaw Valley w Kalifornii."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?","[INST] <<SYS>>
        Twoim zadaniem jest odpowiadać na podane pytania możliwie najkrócej. Odpowiedź, którą podajesz, musi być dokładna, zwięzła i zawierać tylko informacje odpowiadające na zadane pytanie. Na przykład:
        Pytanie: Jaka jest stolica Bułgarii?
        Odpowiedź: ""Sofia""
        <</SYS>>

        Teraz twoje pytanie: Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida? [/INST] Goliat miał ok. 2,18 m."
