Question,Answer
"Nickelodeon został założony w 1979 roku przez którą firmę?","Warner Amex"
"Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?","350 funtów. Minimum to 200 funtów"
"Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?","Co najmniej 6 gramów. Srebrne medale muszą ważyć co najmniej .925 srebra sterlingowego"
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","Tylko trofeum Wimbledonu jest złote; pozostałe, czyli U.S. Open, French Open i Australian Open, są srebrne"
"Na jakim warzywie starożytny Egipcjanin składał przysięgę?","Cebula. Jej okrągły kształt symbolizował wieczność"
"Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?","Wenezuela, gdzie roczne spożycie makaronu wynosi 27,9 funta"
"Kto był egipskim prezydentem zamordowanym w 1981 roku?","Sadat"
"Jak nazywają się dwie główne odnogi Nilu?","Błękitny Nil i Biały Nil"
"Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?","Zambia i Zimbabwe"
"Ile czasu Jonasz spędził w brzuchu wieloryba?","Trzy dni i trzy noce"
"Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?","Pierwszy występ The Beatles w programie The Ed Sullivan Show"
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?","Sześć łokci i piędź"
"Za jaką „cenę” Ezaw sprzedał swoje pierworództwo swojemu bratu bliźniakowi Jakubowi?","Potrawa z soczewicy (Księga Rodzaju 25:29-34)"
"W jakim języku pierwotnie napisano Nowy Testament?","Po grecku"
"Jaka była całkowita liczba ludności świata w czasach Chrystusa?","Około 200 milionów"
"Kto napisał historię, na której Alfred Hitchcock oparł swój film z 1963 roku Ptaki?","Daphne du Maurier, najbardziej znana z powieści Rebeka"
"Czym zajmował się Franz Kafka w swojej codziennej pracy?","Pracował w ubezpieczeniach"
