Question,Model Answer
Nickelodeon został założony w 1979 roku przez którą firmę?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Jaka jest maksymalna dopuszczalna waga cieląt w konkursie rodeo?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Ile czystego złota musi zawierać każdy złoty medal wręczany zwycięzcom zgodnie z zasadami MKOl?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
"Ile z czterech trofeów Wielkiego Szlema w tenisie jest złotych, a ile srebrnych?","Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Na jakim warzywie starożytny Egipcjanin składał przysięgę?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Który kraj jest drugi na świecie pod względem spożycia makaronu po Włoszech?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Kto był egipskim prezydentem zamordowanym w 1981 roku?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Jak nazywają się dwie główne odnogi Nilu?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Na granicy których dwóch krajów znajduje się Wodospad Wiktorii?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Ile czasu Jonasz spędził w brzuchu wieloryba?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
Na jakie wydarzenie w lutym 1964 roku kaznodzieja Billy Graham złamał swoją zasadę nieoglądania telewizji w niedzielę?,"Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
"Jak wysoki był Goliat, filistyński olbrzym zabity przez Dawida?","Twoim zadaniem jest spojrzeć na pytanie z zakresu ciekawostek i odpowiedzieć na nie zwięźle. Interesuje nas wyłącznie odpowiedź, bez żadnych dodatkowych informacji wokół niej."
