Question,Model Answer
Коя компания основава Никелодеон през 1979 година?,"[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Коя компания основава Никелодеон през 1979 година? [/INST]  
         ViacomCBS"
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле? [/INST]  
        100 паунда"
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място? [/INST]  
        6 грама"
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро? [/INST]  
        2 от 4 трофея на Големия шлем по тенис са от злато (Австралия и САЩ), а 2 са от сребро (Ролан Гарос и Уимбълдън)."
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва? [/INST]  
         Отговор: папирус"
Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място?,"[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място? [/INST]"
"Кой е бил Египетският президент, убит през 1981 година?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Кой е бил Египетският президент, убит през 1981 година? [/INST]  
         Отговор: ""Ануар Садат"""
Между кои държави се намира водопадът Виктория?,"[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Между кои държави се намира водопадът Виктория? [/INST]  
        1. Задачата изисква от вас да предоставите кратък и точен отговор на зададен въпрос.
2. Отговорът трябва да включва само необходимата информация за отговор на въпроса.
3. Не е необходимо да предоставяте допълнителна или контекстуална информация в отговора си.
4. Ако въпросът не може да бъде точно отговорен с една дума или фраза, моля, обяснете защо."
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит? [/INST]  
        3 дни"
Кои са двете основни ръкави на река Нил?,"[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Кои са двете основни ръкави на река Нил? [/INST]  
        1) Горен Нил (известен също като Бял Нил)
2) Долен Нил (известен също като Сини Нил)"
За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя? ,"[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя?  [/INST]  
         Събитието, за което говорите, е първото излъчване на телевизионното предаване на Били Греъм, ""The Hour of Decision"", на 23 февруари 1964 г. Това беше значително отклонение от предишния му ангажимент никога да не гледа телевизия в неделя, тъй като той вярваше, че това е денят, посветен на Бог. Въпреки това, поради нарастващото влияние на телевизията и желанието му да достигне до по-широка аудитория, той реши да направи изключение за предаването си."
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?","[INST]
        Твоята задача е да отговаряш възможно най-кратко на даденен въпрос. Отговорът, който даваш, трябва да бъде точен, кратък и да съдържа само информация, която отговаря на зададения въпрос. Например:
        Въпрос: Коя е столицата на България?
        Отговор: ""София""
        Сега отговори на следния въпрос:
        Question: Колко висок е бил Голиат, филистимският гигант, убит от Давид? [/INST]  
        40 фута (12 метра)"
