Question,Model Answer
Nickelodeon was founded in 1979 by which company?,"Answer: ""Cablevision Systems Corporation"""
What is the maximum weight permitted for calves in rodeo calf-roping competition?,Answer: Calves in rodeo calf-roping competitions typically weigh between 250 to 450 pounds (113 to 204 kg). Specific weights can vary by event.
"Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?",Answer: Each gold medal contains 6 grams of pure gold.
How many of the four Grand Slam trophies in tennis are gold; how many are silver?,"Answer: In tennis, all four Grand Slam trophies are made of metal, but they do not come in different colors like gold or silver. Instead, they are gilded with gold color. Therefore, there are no Grand Slam trophies that are entirely made of silver."
On what vegetable did an ancient Egyptian place his right hand when taking an oath?,Answer: The ancient Egyptians placed their right hand on a papyrus scepter or a lotus vegetable when taking an oath.
Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?,"China, with approximately 53.4 pounds eaten per person per year, is the country with the second-highest pasta consumption."
Who was the Egyptian president who was assassinated in 1981?,Answer: Anwar Sadat.
What are the two main arms of the River Nile called?,Answer: The two main branches of the River Nile are the Nile River's White Nile and Blue Nile.
On the border of which two countries is Victoria Falls?,Answer: Zambia and Zimbabwe.
How much time did Jonah spend in the belly of the whale?,"According to the biblical story, Jonah was inside the whale's belly for three days and nights. (Jonah 1:17)"
For what event in February 1964 did evangelist Billy Graham break his strict rule against watching TV on Sunday?,Answer: The assassination of President John F. Kennedy. Billy Graham broke his rule to watch news coverage of the event.
"How tall was Goliath, the Philistine giant slain by David with a stone hurled from a sling?","Answer: The height of Goliath is not precisely recorded in the Bible, but various sources suggest it ranges from 6 to 9 feet (1.83 to 2.74 meters)."
"In the Bible, for what 'price' did Esau sell his birthright to his younger twin brother, Jacob?",Answer: Esau sold his birthright to Jacob for a bowl of red lentil soup. (Genesis 25:34)
In what language was the New Testament originally written?,Answer: The New Testament was originally written in Koine Greek.
What was the total population of the world at the time of Christ?,Answer: The population of the world at the time of Christ is uncertain and estimated to range between 200 million to 300 million people.
Who wrote the story upon which Alfred Hitchcock based his 1963 suspense film The Birds?,"Answer: Evelyn Waugh wrote the short story ""The Circular Story"" which inspired Alfred Hitchcock's film ""The Birds."" However, it's important to note that Waugh's story has some differences from the movie plot."
What did Franz Kafka do for a day job?,Answer: Franz Kafka worked as an insurance agent for a day job.
How many miles long is the canal which links the Pacific and Atlantic Oceans?,The Panama Canal is approximately 50 miles long.
Which artist created the Katzenjammer Kids?,Roger Crabtree created The Katzenjammer Kids comic strip.
What disability did singer Al Hibbler have?,Answer: Al Hibbler was a jazz singer who was blind.
Flamenco dancer Joaquin Cortes hit the headlines in 1996 over his relationship with which supermodel?,Answer: Naomi Campbell.
What was the name of NATO spokesman in the 1999 Kosovo crisis?,Answer: Jamie Shea.
Who was the defending champion when Andre Agassi first won Wimbledon singles?,The defending champion when Andre Agassi first won Wimbledon singles in 1992 was Stefan Edberg.
"How did James F Fixx, promoter of jogging for good health, die in 1984?","Answer: James F. Fixx, the promoter of jogging for good health, died by suicide via self-inflicted gunshot wound in 1984."
What was the name of the first weather satellite?,"Answer: ""TIros 1 (Television Infrared Observation Satellite 1)"""
What was Elvis Presley's first album which did not have his name in the title?,"Answer: Elvis's first album without his name in the title was ""Stage Names,"" released in 1964."
Who won the first all American French Open Men's Singles final for almost 40 years in the 90s?,Answer: Jim Courier won the first All-American men's singles title at the French Open in the 1990s.
Who hosted the early series of The Pink Panther cartoons?,Answer: Dean Elliott and Friz Freleng produced and directed the early series of The Pink Panter cartoons.
"In Makin' It, who was the John Travolta-type character?","Answer: Tony Perk, played by Jon Lovitz, was the John Travolta-type character in Makin' It."
The actor who played Jack Geller in Friends was married once to which superstar?,"Answer: The actor who played Jack Geller in Friends, John Aniston, was married to actress Jennifer Aniston."
Who was Greece's first socialist Prime Minister?,"Answer: Georgios Papandreou was Greece's first socialist Prime Minister, serving from 1981 to 1989 and again from 2009 to 2011."
Who beat Carl Lewis's best time of 9.86 seconds for the 100 meters?,"The world record in the men's 100 meters, which is faster than Carl Lewis's time of 9.86 seconds, is currently held by Usain Bolt with a time of 9.58 seconds (set in 2009)."
Name France's last Wimbledon men's singles winner of this century.,Answer: The last French man to win the Wimbledon singles title in this century is Jo-Wilfried Tsonga (in 2016).
Who was the oldest US Open golf champion of the 20th century?,Answer: The oldest US Open golf champion of the 20th century was Horace Rawls in 1931.
Where does a bounced email return to?,Answer: The returned email goes back to the sender's address mentioned in the email header.
Who was the senior US diplomat held in the US Embassy in Tehran?,Answer: The senior US diplomat held in the US Embassy in Tehran during the 1979 hostage crisis was Ambassador William Sullivan.
Who were the first two men to drive on the Moon?,Answer: Neil Armstrong and Buzz Aldrin were the first two men to drive on the Moon in 1969 during the Apollo 11 mission.
Where is the Great White Way?,"The Great White Way refers to 42nd Street in New York City, known for its theaters and Broadway productions."
Which hospital was Princess Diana taken to after her tragic car accident?,Answer: Princess Diana was taken to Pitie-Salpêtrière Hospital in Paris after her car accident.
Which two Middle-Eastern countries fought a war from 1980 to 1988?,Answer: Iraq and Iran.
With what is the Japanese art of bonsai concerned?,"The Japanese art of bonsai involves growing and shaping miniature trees to resemble mature, full-sized ones."
Which two countries have a border with Liechtenstein?,Answer: Austria and Switzerland.
How often are American presidential elections held?,Answer: Presidential elections in America are held every four years.
Which are the two main political parties in the USA?,The two major political parties in the USA are the Democratic Party and the Republican Party.
For what purpose did Melvil Dewey devise his decimal system in 1876?,"Melvil Dewey devised his decimal system in 1876 for organizing library collections by assigning a unique number to each subject area, facilitating easy and efficient retrieval of books."
What kind of elements are found in a pure state in nature?,"Elements are substances that cannot be broken down into simpler substances through chemical reactions. In their pure state, they exist naturally as individual atoms or molecules. Common elements include hydrogen, oxygen, carbon, nitrogen, and iron."
Which quantity has direction as well as magnitude?,"Answer: A vector quantity has both direction and magnitude. Examples include velocity, force, and position."
What is studied in the science of cryogenics?,"The science of cryogenics deals with the production and effects of extremely low temperatures, typically below -150 degrees Celsius. It involves the study and application of substances in their liquid or solid state at very low temperatures, including the properties of these states and the equipment used to achieve and maintain them. Cryogenics is used in various industries such as medicine, food storage, and scientific research."
What kind of an animal is a marmoset?,"Answer: A marmoset is a type of primate, specifically a New World monkey."
Why do fish have gills?,Fish have gills to extract oxygen from water for respiration and excrete carbon dioxide.
Machiavelli used which plant's name as the title of one of his books?,"Answer: ""The Prince"" is not named after a plant, but rather after the concept of a prince or ruler in Italian politics. Machiavellianism refers to his political ideas presented in this book."
When might a person show rapid eye movement (REM)?,"A person typically shows Rapid Eye Movement (REM) during sleep, specifically during the REM stage of the sleep cycle. This usually occurs every 90-120 minutes during the night, with each episode lasting around 10-30 minutes."
Which two planets take less time than Earth to orbit the sun?,Answer: Venus and Mercury orbit the sun faster than Earth.
"What was the name of two space probes launched in 1977 which sent back remarkable pictures of Jupiter, Saturn, Uranus and Neptune?","Voyager 1 and Voyager 2. These spaceprobes were launched on September 5, 1977, and August 15, 1977, respectively. They provided unprecedented images and data about Jupiter, Saturn, Uranus, and Neptune."
What is the defining feature of a neutron star?,"A neutron star is an extremely dense celestial object formed from the collapsed core of a massive star, with a diameter of about 10-20 kilometers and a mass around that of the Sun, but packed into a space smaller than a city. Its defining feature is its incredibly high density, which makes it the densest known astronomical object. Neutron stars are composed mainly of neutrons and have no nuclear reactions in their cores, emitting most of their radiation in X-rays and gamma rays."
The Ural Mountains form a natural border between which two continents?,Answer: Europe and Asia.
"What did Nicholas Copernicus argue was at the centre of our universe, and what was the common belief before then?","Answer: Nicholas Copernicus argued that the Sun, not the Earth, is at the center of our universe. Before Copernicus, the common belief was that the Earth was at the center of the universe with all other planets revolving around it."
Which male singer sang the opening line of the original Band Aid single Do They Know It's Christmas?,"The male singer who sang the opening line of the original Band Aid single ""Do They Know It's Christmas?"" is Bono from U2."
The binary system of numbers uses which two numerical digits?,Answer: The binary system uses only two numerical digits: 0 and 1.
James Earl Ray was responsible for who's death in 1968?,Answer: Martin Luther King Jr.
What was the challanging method of catching a fly asked of Daniel in the film The Karate Kid?,"Answer: In ""The Karate Kid,"" Daniel was asked to catch a flying fly using only karate moves without touching it directly or making it fly away again. This challenge helped him develop focus and precision."
Which band had a hit in the 1980s with the single Broken Wings?,"Answer: The band ""Mr. Mister"" had a hit in the 1980s with the single ""Broken Wings""."
What are the main four blood groups?,"Answer: A, B, AB, O."
Which two actresses play the leading roles in the 1992 film Single White Female?,Answer: Jennifer Jason Leigh and Gwyneth Paltrow.
Who played the title roles in the 1986 film The Three Amigos?,"Answer: Steve Martin, Chevy Chase, and Marty Short played the title roles in the 1986 film ""The Three Amigos."""
Which three elements make up carbohydrates?,"Answer: Carbohydrates are composed of hydrogen, oxygen, and carbon in a 2:1:1 ratio, with the main building blocks being simple sugars (monosaccharides), disaccharides, or polysaccharides."
What colour are the vertical stripes of the Italian Flag?,"Answer: The vertical stripes of the Italian flag are green, white, and red."
