Question,Answers,Predicted Answers
Коя компания основава Никелодеон през 1979 година?,Уорнър Амекс,Viacom
"Какво е максималното тегло, разрешено за телета в родео състезанията по хващане на теле?",350 паунда (приблизително 158.76 кг). Минимумът е 200 паунда (приблизително 90.72 кг).,"Максималното тегло на телетата в родео състезанията по хващане на теле обикновено варира между 150 и 200 килограма. Точната граница може да се различава в зависимост от конкретните правила на организацията или асоциацията, провеждаща събитието."
"Според правилата, изложени в хартата на Международния олимпийски комитет, колко чисто злато трябва да има във всяко златно медалче за първо място?",Най-малко 6 грама. Сребърните медали трябва да са поне .925 стерлингово сребро.,65% чисто злато.
"Колко от четирите трофея на Големия шлем по тенис са от злато, и колко са от сребро?","Само трофеят на Уимбълдън е златен; останалите - за Откритото първенство на САЩ, Откритото първенство на Франция и Откритото първенство на Австралия - са сребърни.",Четири златни медала.
"Върху кой зеленчук древните египтяни са поставяли дясната си ръка, когато са полагали клетва?",Лукът. Неговата кръгла форма символизирa вечността.,Лук.
Италия е водеща в света по консумация на паста с близо 28 килограма на човек годишно.Коя държава е на второ място?,"Венецуела, където годишната консумация е близо 13 килограма.",Китай
"Кой е бил Египетският президент, убит през 1981 година?",Садат,Ануар Садат
Между кои държави се намира водопадът Виктория?,Замбия и Зимбабве,Зимбабве и Замбия.
"В библейското повествование за пророк Йона, колко дена е превивавал в стомаха на кит?",Три дена и три нощи,Три дни и три нощи.
Кои са двете основни ръкави на река Нил?,Сини Нил и Бели Нил.,Белият Нил и Синият Нил.
"За кое събитие през февруари 1964 г. евангелистът Били Греъм нарушава строгото си правило да не гледа телевизия в неделя? ",Първото появяване на Бийтълс в шоуто на Ед Съливан.,"Били Греъм гледа телевизия в неделя за първи път през февруари 1964 г., за да наблюдава изстрелването на космическия кораб ""Джемини 3"""
"Колко висок е бил Голиат, филистимският гигант, убит от Давид?","Шест лакътя и една педя ,равнявайки се  на приблизително 297.18 см",2.9 метра (според Библията)
За каква 'цена' Исав продава първородството си на брат си Яков?,Вариво от леща (Битие 25:29-34).,Едно ястие от леща.
На какъв език е написан Новият завет?,Гръцки език.,Новият завет е написан на гръцки език (коine).
Какво е било световното население по време на Христос?,Около 200 милиона души.,Около 300 милиона души.
"Кой е авторът на историята, на която е базиран филмът на Алфред Хичкок 'Птиците'?","Дафни дю Морие, най-известна с романа й Ребека.",Дафни дю Морие
С какво се е занимавал Франц Кафprintка през деня?,Работил е като застраховането.,Франц Кафка е бил писател.
"Колко километра е дълъг каналът, който свързва Тихия и Атлантическия океан?",80 километра.,120 км
