Question number,Classification
1,B
2,B
3,C
4,B
5,B
6,B
7,A
8,B
9,C
10,B
11,B
12,A
13,B
14,A
15,B
16,A
17,A
18,A
19,B
20,A
21,B
22,B
23,A
24,B
25,B
26,A
27,B
28,B
29,B
30,B
31,B
32,B
33,B
34,B
35,B
36,A
37,B
38,B
39,A
40,C
41,A
42,A
43,A
44,A
45,A
46,B
47,B
48,B
49,A
50,B
51,B
52,B
53,A
54,A
55,A
56,B
57,A
58,A
59,B
60,B
61,A
62,B
63,B
64,B
65,B
66,A
67,A
68,B
69,B
70,A
71,B
72,B
73,A
74,A
75,B
76,B
77,B
78,B
79,B
80,B
81,A
82,B
83,B
84,B
85,A
86,B
87,B
88,B
89,B
90,A
91,B
92,B
93,B
94,A
95,B
96,B
97,B
98,B
99,C
100,A
